action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,-1.09,-1.5
0.0,-0.5,-1.0,0.0
-2.0,-2.3009500000000003,-1.485,-3.3665950000000002
-0.135,0.0,0.0,0.0
-0.95,-0.54455,-1.85,-1.4500000000000002
-0.004050000000000001,0.0,0.0,-0.5
0.0,0.0,-1.09,-1.5
0.0,-0.5,-1.0,0.0
-2.0,-2.3009500000000003,-1.485,-3.3665950000000002
-0.135,0.0,0.0,0.0
-0.95,-0.54455,-1.85,-1.4500000000000002
-0.004050000000000001,0.0,0.0,-0.5
0.0,0.0,-1.09,-1.5
