action_TFC_000,action_TFU_000,action_TNC_000,action_TNU_000
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
-0.5,0.0,0.0,0.0
-0.5,0.0,0.0,0.0
-0.5,0.0,0.0,0.0
-0.5,-0.5,0.0,0.0
-0.5,-0.5,0.0,0.0
-0.5,-0.5,0.0,0.0
-0.5,-0.5,0.0,0.0
-0.5,-0.5,-0.5,0.0
-0.5,-0.5,-0.5,0.0
-0.5,-0.5,-0.5,0.0
-0.5,-0.5,-0.5,0.0
-0.5,-0.5,-0.5,-0.5
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.495
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
-0.5,-0.5,-0.5,-0.49005
